measured_at_utc,event,arm,symbol,signal_id,trade_id,bar_time,side,entry_price,stop_price,target_price,size_lots,risk_ccy,exit_price,exit_reason,pnl_r,pnl_r_nocost,pnl_ccy,capital_after,decision,size_frac,sl_adjust,tp_adjust,reason,chain
2026-08-26T19:36:18Z,SHADOW_OPEN,SHADOW,GBPUSD,GBPUSD_202608251000,SHADOW_GBPUSD_LONG_202608251000,2026-08-25T10:00:00,LONG,1.36418,1.36208,1.36847,0.5923,100.00,,,,,,,,,,,,b72541f44b3b69c94c206d47ac4f4b3b9a88b0b500f2380c530cbde8dd4e13bc
2026-08-26T19:36:18Z,OPEN,MECH,GBPUSD,GBPUSD_202608251000,MECH_GBPUSD_LONG_202608251000,2026-08-25T10:00:00,LONG,1.36418,1.36208,1.36847,0.5923,100.00,,,,,,10000.00,,,,,,2cdee6f3a14f8819d940a8d6a96af1b47f7b1fc7e2ccc5df2d54a934841470c2
2026-08-26T19:36:18Z,DECISION,AI,GBPUSD,GBPUSD_202608251000,,2026-08-25T10:00:00,,,,,,,,,,,,,skip,0.000,1.000,1.000,"Retrace de seulement 1% dans l'AOI, shift à 0.27 ATR sans engulfing ni H&S retest, et bougies récentes en tendance baissière marquée : le déclencheur LONG manque de netteté malgré la zone D correcte et le R:R 2.29.",4d2d4626fe3a332e3a16c29919b21eaf1f77eca2ee334bd7e5b8fbc96ff5dd45
2026-08-26T19:36:18Z,DECISION,RND,GBPUSD,GBPUSD_202608251000,,2026-08-25T10:00:00,,,,,,,,,,,,,skip,,,,taux=0.000 tirage=0.619,cd1fd82f03a319d0384e24b2b558f1186657601807c9a98c6e88ecd340efcbd0
2026-08-26T19:36:18Z,CLOSE,MECH,GBPUSD,GBPUSD_202608251000,MECH_GBPUSD_LONG_202608251000,2026-08-26T12:00:00,LONG,1.36418,1.36208,1.36847,0.5923,100.00,1.36208,SL,-1.0783,,-107.83,9892.17,,,,,,674d84cf6e084671ff7d4297b268f463b4ff6c288c76263d6557295e6d255946
2026-08-26T19:36:18Z,SHADOW_CLOSE,SHADOW,GBPUSD,GBPUSD_202608251000,SHADOW_GBPUSD_LONG_202608251000,2026-08-26T12:00:00,LONG,1.36418,1.36208,1.36847,0.5923,100.00,1.36208,SL,-1.0783,-0.8434,-107.83,,,,,,,695da74136108627d0285180230ab3a13fe4cac7080b27e5116178507358e08e
2026-08-26T19:36:18Z,SHADOW_OPEN,SHADOW,GBPJPY,GBPJPY_202608240800,SHADOW_GBPJPY_LONG_202608240800,2026-08-24T08:00:00,LONG,216.97350,216.68087,217.60387,0.6780,100.00,,,,,,,,,,,,52be0c84cc000d92c4dbda6477765a63e8185124c4c0f020216b74dcc532d4c5
2026-08-26T19:36:18Z,OPEN,MECH,GBPJPY,GBPJPY_202608240800,MECH_GBPJPY_LONG_202608240800,2026-08-24T08:00:00,LONG,216.97350,216.68087,217.60387,0.6707,98.92,,,,,,9892.17,,,,,,1f87966d3a540335bd0d11e666fbac398f4adb26080d765d6513c539112a96b9
2026-08-26T19:36:18Z,DECISION,AI,GBPJPY,GBPJPY_202608240800,,2026-08-24T08:00:00,,,,,,,,,,,,,skip,0.000,1.000,1.000,"Pas d'engulfing ni de break+retest de neckline, AOI présente sur une seule TF (D), session asiatique molle et barres récentes en dérive baissière sous l'entrée malgré tf_sync W+D+H4 — shift insuffisant pour un LONG.",561d2d55a890d392df7544875c5df54b8ee3d24dc1f646ed9ffa637b89f2c285
2026-08-26T19:36:18Z,DECISION,RND,GBPJPY,GBPJPY_202608240800,,2026-08-24T08:00:00,,,,,,,,,,,,,skip,,,,taux=0.000 tirage=0.202,07e1bc5464a945b8485404a0ff3938f49438e2192351bc0b7c7258a5eaaa94b7
2026-08-26T19:36:18Z,CLOSE,MECH,GBPJPY,GBPJPY_202608240800,MECH_GBPJPY_LONG_202608240800,2026-08-24T23:00:00,LONG,216.97350,216.68087,217.60387,0.6707,98.92,216.68087,SL,-1.1316,,-111.94,9780.24,,,,,,46dcfa03654418a81c744d9d8076c8acac69ab0443eadf34c49dd130ce8b81ad
2026-08-26T19:36:18Z,SHADOW_CLOSE,SHADOW,GBPJPY,GBPJPY_202608240800,SHADOW_GBPJPY_LONG_202608240800,2026-08-24T23:00:00,LONG,216.97350,216.68087,217.60387,0.6780,100.00,216.68087,SL,-1.1316,-0.7369,-113.16,,,,,,,7bbbbfff0e8dc9c5c01c63aa8d5da08026abdad2bd474e271651d12d57739d54
