measured_at_utc,event,trade_id,bar_time,side,entry_price,stop_price,target_price,size_lots,risk_ccy,exit_price,exit_reason,pnl_r,pnl_ccy,capital_after,chain
2026-08-18T22:57:55Z,OPEN,SHORT_20260818_2100,2026-08-18T21:00:00,SHORT,4345.08100,4368.80100,4282.28600,0.0422,100.00,,,,,10000.00,19340d70faf6fe0b6d338503784cadeaa50c9fbaa76004cf714a16f726a52793
2026-08-19T13:59:42Z,CLOSE,SHORT_20260818_2100,2026-08-19T12:00:00,SHORT,4345.08100,4368.80100,4282.28600,0.0422,100.00,4368.80100,SL,-1.0053,-100.53,9899.47,dfbec25c440d24dca490fa1f3484bd108f6010fdfc2b2bdc8f7c1124efb86309
2026-08-21T08:12:34Z,OPEN,LONG_20260821_0700,2026-08-21T07:00:00,LONG,4553.37100,4525.72850,4626.62600,0.0358,98.99,,,,,9899.47,cd5b1759cf38610031bcf64bcdb755b2648d80384eaeeede63bec7d7a37d1ce8
2026-08-21T19:54:16Z,CLOSE,LONG_20260821_0700,2026-08-21T18:00:00,LONG,4553.37100,4525.72850,4626.62600,0.0358,98.99,4626.62600,TP,+2.6456,+261.90,10161.37,96bd1f92da451e033dd40a54af5419fe4a24afdc8af5bedc2769f1867edf611d
2026-08-25T03:13:31Z,OPEN,LONG_20260825_0200,2026-08-25T02:00:00,LONG,4684.03600,4652.04725,4768.88100,0.0318,101.61,,,,,10161.37,4e9ec1360f438f5214b8c60c72a939b047ed83d6cfbe15ea70b21d0df132f8c3
2026-08-25T05:14:02Z,CLOSE,LONG_20260825_0200,2026-08-25T04:00:00,LONG,4684.03600,4652.04725,4768.88100,0.0318,101.61,4652.04725,SL,-1.0039,-102.01,10059.36,82f1bbccbc7a5b703ffed317792f3d111768face62b9d8930c487b9ee6ca97ab
2026-08-26T18:23:48Z,OPEN,SHORT_20260826_1700,2026-08-26T17:00:00,SHORT,4595.64600,4621.28761,4527.72671,0.0392,100.59,,,,,10059.36,4666751c9240deec8a6eb178c8c5ad52302ec0198ae23704890c9a44581577cc
2026-08-27T02:36:54Z,CLOSE,SHORT_20260826_1700,2026-08-27T01:00:00,SHORT,4595.64600,4621.28761,4527.72671,0.0392,100.59,4621.28761,SL,-1.0049,-101.08,9958.28,611c3c81b57daad45e227811357b42166ebc0a3ca75710ac7b492ef1d5925b2b
2026-08-27T12:40:11Z,OPEN,SHORT_20260827_1100,2026-08-27T11:00:00,SHORT,4579.79600,4606.93546,4507.88243,0.0367,99.58,,,,,9958.28,4a121997ae26446bc845b296b9616d404292ebd52f157aa10d2a4e786707ed30
2026-08-27T18:41:13Z,CLOSE,SHORT_20260827_1100,2026-08-27T17:00:00,SHORT,4579.79600,4606.93546,4507.88243,0.0367,99.58,4606.93546,SL,-1.0046,-100.04,9858.23,d1a463748f6921ee48f80ed1380ad21a556ddb9fcff52fd4388292020078b347
2026-09-01T11:08:38Z,OPEN,SHORT_20260901_1000,2026-09-01T10:00:00,SHORT,4370.32100,4397.81350,4297.46600,0.0359,98.58,,,,,9858.23,323921bc36fe2dd79b2dd1078795d7bc5299dbbe1867cf0486d72a6a242fa421
2026-09-02T04:16:29Z,CLOSE,SHORT_20260901_1000,2026-09-02T03:00:00,SHORT,4370.32100,4397.81350,4297.46600,0.0359,98.58,4297.46600,TP,+2.6454,+260.79,10119.03,0acfda5878acd259aec019d4a9b80ccfd37c7f9a52813b96696168f1db64b56a
