pair,run,family,direction,label,params,n_full,full_r,full_rpt,oos_w1,oos_w2,oos_w3,oos_w4,honest_r,oos_trades,oos_rpt,strict,ctrl_pctile,ctrl_null_med,ctrl_null_p95,ctrl_eff_ok,ctrl_beta
EURUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down3_range_filterFalse,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",314,-2.54,-0.00809,-0.45,0.849,-4.735,-1.136,-5.473,141,-0.03882,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down3_range_filterTrue,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",253,-1.452,-0.00574,1.775,-0.328,-3.917,-0.034,-2.504,111,-0.02256,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down4_range_filterFalse,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",278,-6.6,-0.02374,0.269,1.21,-4.584,-2.798,-5.903,123,-0.04799,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down4_range_filterTrue,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",233,-4.072,-0.01748,2.673,0.26,-4.112,-1.382,-2.562,101,-0.02536,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down5_range_filterFalse,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",244,-7.843,-0.03214,-0.038,1.788,-4.045,-2.534,-4.829,114,-0.04236,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym3_familymr_n_down5_range_filterTrue,"{'direction': 'long', 'exit': 'sym3', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",211,-5.49,-0.02602,1.619,0.884,-3.227,-0.996,-1.721,97,-0.01774,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym10_familymr_n_down3_range_filterFalse,"{'direction': 'long', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",196,-2.852,-0.01455,-0.156,1.099,-1.242,0.28,-0.019,88,-0.00021,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym10_familymr_n_down3_range_filterTrue,"{'direction': 'long', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",174,-1.833,-0.01054,0.397,1.168,-1.307,0.349,0.607,85,0.00714,0,72.5,-0.364,2.083,0,
EURUSD,A_mr,mr,long,directionlong_exitsym10_familymr_n_down4_range_filterFalse,"{'direction': 'long', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",179,-3.761,-0.02101,0.018,0.909,-1.21,0.1,-0.182,80,-0.00227,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym10_familymr_n_down4_range_filterTrue,"{'direction': 'long', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",163,-2.418,-0.01484,0.472,1.09,-1.341,0.191,0.412,77,0.00536,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym10_familymr_n_down5_range_filterFalse,"{'direction': 'long', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",167,-4.762,-0.02852,-0.405,0.98,-2.17,-0.105,-1.699,77,-0.02207,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitsym10_familymr_n_down5_range_filterTrue,"{'direction': 'long', 'exit': 'sym10', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",149,-3.421,-0.02296,0.085,1.252,-2.28,-0.02,-0.963,72,-0.01337,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down3_range_filterFalse,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",295,-14.635,-0.04961,3.649,4.114,-9.886,1.031,-1.091,129,-0.00846,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down3_range_filterTrue,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",261,-9.88,-0.03785,4.913,3.127,-7.804,0.128,0.363,112,0.00325,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down4_range_filterFalse,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",262,-12.946,-0.04941,4.857,8.032,-5.902,-2.789,4.197,116,0.03618,0,84.5,-3.281,9.519,1,
EURUSD,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down4_range_filterTrue,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",236,-12.282,-0.05204,5.082,6.088,-6.81,-1.707,2.653,102,0.02601,0,76.0,-3.105,11.517,1,
EURUSD,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down5_range_filterFalse,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",234,-14.168,-0.06055,1.138,8.995,-8.774,-3.612,-2.253,103,-0.02188,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_1.5_1.5_familymr_n_down5_range_filterTrue,"{'direction': 'long', 'exit': 'atr_1.5_1.5', 'family': 'mr', 'lookback': 252, 'n_down': 5, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",215,-16.725,-0.07779,4.128,8.134,-8.735,-4.523,-0.996,92,-0.01082,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down3_range_filterFalse,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",169,-2.791,-0.01651,0.325,2.43,-4.318,0.046,-1.517,77,-0.0197,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down3_range_filterTrue,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 3, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",154,-4.265,-0.0277,-0.592,3.059,-4.243,-1.25,-3.026,67,-0.04517,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down4_range_filterFalse,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': False, 'trigger': 'sig'}",157,-7.268,-0.04629,-2.241,2.422,-4.598,-1.248,-5.666,68,-0.08332,0,,,,,
EURUSD,A_mr,mr,long,directionlong_exitatr_2_3_familymr_n_down4_range_filterTrue,"{'direction': 'long', 'exit': 'atr_2_3', 'family': 'mr', 'lookback': 252, 'n_down': 4, 'q': 0.05, 'range_filter': True, 'trigger': 'sig'}",146,-4.572,-0.03132,-1.236,2.406,-4.246,-2.536,-5.612,63,-0.08908,0,,,,,
